id_subject,id_segment,id_error,idt,t,id_BayeSlope,signal,Amplitude,A_pre,A_pre_ratio,A_post,A_post_ratio,Width,W_pre,W_pre_ratio,W_post,W_post_ratio,RR_pre,RR_post,RR_ratio,consecutive_errors,Isolated,error_class_label
7,2,0,708,1027.7827118205803,8,5,26,84.0,0.30952380952380953,83.0,0.3132530120481928,23,10.0,2.3,29.0,0.7931034482758621,76.0,59.0,0.7763157894736842,1,0,Noise
7,2,1,767,1028.0187124432716,9,86,83,26.0,3.1923076923076925,344.0,0.24127906976744187,29,23.0,1.2608695652173914,15.0,1.9333333333333333,59.0,144.0,2.440677966101695,2,0,T-wave
7,3,0,77,1275.315364939314,0,155,146,,,805.0,0.1813664596273292,30,,,18.0,1.6666666666666667,,49.0,,1,1,T-wave
7,3,1,570,1277.28737014248,6,175,1321,69.0,19.144927536231883,1398.0,0.9449213161659513,21,19.0,1.105263157894737,14.0,1.5,111.0,461.0,4.153153153153153,1,1,Physio
7,3,2,1741,1281.9713825013193,9,148,275,73.0,3.767123287671233,292.0,0.9417808219178082,18,17.0,1.0588235294117647,15.0,1.2,280.0,237.0,0.8464285714285714,1,0,Physio
7,3,3,1978,1282.9193850026384,10,46,292,275.0,1.0618181818181818,188.0,1.553191489361702,15,18.0,0.8333333333333334,27.0,0.5555555555555556,237.0,188.0,0.7932489451476793,2,0,Physio
7,3,4,2166,1283.6713869868074,11,205,188,292.0,0.6438356164383562,130.0,1.4461538461538461,27,15.0,1.8,16.0,1.6875,188.0,131.0,0.6968085106382979,3,0,T-wave
7,3,5,2449,1284.8033899736147,14,63,194,172.0,1.127906976744186,404.0,0.4801980198019802,19,21.0,0.9047619047619048,17.0,1.1176470588235294,68.0,218.0,3.2058823529411766,1,0,Noise
7,3,6,2667,1285.6753922744062,15,194,404,194.0,2.082474226804124,119.0,3.3949579831932772,17,19.0,0.8947368421052632,30.0,0.5666666666666667,218.0,168.0,0.7706422018348624,2,0,Physio
7,3,7,2835,1286.3473940474933,16,138,119,404.0,0.29455445544554454,66.0,1.803030303030303,30,17.0,1.7647058823529411,12.0,2.5,168.0,131.0,0.7797619047619048,3,0,T-wave
7,3,8,3954,1290.8234058575197,22,-97,926,111.0,8.342342342342342,337.0,2.7477744807121662,12,19.0,0.631578947368421,19.0,0.631578947368421,654.0,427.0,0.6529051987767585,1,1,Physio
